id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,marker_wkt
1370,Ghana,Ghana,Accra,6.5305866327,-0.0192271011,POINT(-0.0192271011115808 6.53058663265504)
1380,Greece,Greece,Athens,37.9450840341,18.3765977532,POINT(18.3765977531947 37.9450840341072)
1390,Guatemala,Guatemala,Guatemala City,15.9968234747,-79.7551841554,POINT(-79.7551841554188 15.9968234746797)
1400,Haiti,Haiti,Port-au-Prince,19.9638177036,-62.8897552033,POINT(-62.8897552032656 19.9638177036147)
1410,Honduras,Honduras,Tegucigalpa,15.6679767983,-76.8342254792,POINT(-76.8342254792283 15.667976798306)
1420,China,Hong Kong,Hong Kong,24.0607171808,97.6464443805,POINT(97.6464443804503 24.0607171808128)
1430,Hungary,Hungary,Budapest,44.7798518638,13.66888244,POINT(13.6688824399727 44.779851863829)
1440,Iceland,Iceland,Reykjavik,54.4822398439,-11.4544695781,POINT(-11.4544695781128 54.4822398438718)
1450,India,India,New Delhi,29.5355649058,63.8689754334,POINT(63.8689754334386 29.5355649058449)
1460,Indonesia,Indonesia,Jakarta,-6.9475723336,95.6887805868,POINT(95.6887805868332 -6.94757233358589)
1470,Iran,Iran,Tehran,36.4601413041,40.5323800524,POINT(40.5323800523845 36.4601413041136)
1480,Iraq,Iraq,Baghdad,33.8694771804,35.3119432694,POINT(35.3119432694057 33.8694771803695)
1490,Ireland,Ireland,Dublin,48.6368622157,-4.0938090843,POINT(-4.09380908425501 48.6368622156902)
1500,Israel,Israel,Jerusalem,32.5042463144,28.4911940202,POINT(28.4911940202161 32.5042463144484)
1510,Italy,Italy,Rome,41.0962473068,9.1942223403,POINT(9.19422234027659 41.0962473067649)
1520,Jamaica,Jamaica,Kingston,19.481175235,-66.9293789044,POINT(-66.9293789043801 19.4811752350186)
1530,Japan,Japan,Tokyo,36.0718002693,110.309110982,POINT(110.309110982021 36.0718002692955)
1540,Jordan,Jordan,Amman,32.6351824404,29.4234148743,POINT(29.4234148743195 32.6351824404309)
1550,Kazakhstan,Kazakhstan,Astana,47.6284709525,46.3587603905,POINT(46.3587603905305 47.6284709525408)
1560,Kenya,Kenya,Nairobi,-1.3013072169,33.36981649,POINT(33.3698164900237 -1.30130721687476)
1570,Kuwait,Kuwait,Kuwait,30.4874094619,39.2971874207,POINT(39.2971874206976 30.4874094619457)
1580,Kyrgyzstan,Kyrgyzstan,Bishkek,41.4815004176,55.3080805899,POINT(55.3080805899227 41.4815004176247)
1590,Laos,Laos,Vientiane,19.5031450505,89.5671969782,POINT(89.5671969782212 19.5031450505283)
1600,Latvia,Latvia,Riga,50.6954470033,14.8963065645,POINT(14.8963065645421 50.695447003251)
1610,Lebanon,Lebanon,Beirut,34.3711115702,28.4911940202,POINT(28.4911940202161 34.3711115701561)
1620,Liberia,Liberia,Monrovia,7.0242952177,-9.4968057845,POINT(-9.49680578449573 7.0242952176715)
1630,Libya,Libya,Tripoli,33.4037976889,10.7090812282,POINT(10.7090812281945 33.4037976888576)
1640,Lithuania,Lithuania,Vilnius,49.4187313367,15.7663793617,POINT(15.7663793617053 49.4187313367064)
1650,Luxembourg,Luxembourg,Luxembourg,46.4264917576,4.1408084603,POINT(4.14080846032463 46.4264917575749)
1660,Macedonia,Macedonia,Skopje,40.7911135791,16.0305086037,POINT(16.0305086037012 40.7911135791066)
