macroregion,REGION,COUNTRY,IWP PROGRAM,YEAR(S),OCLC,penname,drupal_family_name,drupal_given_name,drupal_nid
Europe,Northern Europe,Finland,Fall Residency,1991,,,FORSSTRÖM,Tua,1087
Europe,Northern Europe,Finland,Fall Residency,1992,,,INTO,Markku,1223
Europe,Northern Europe,Finland,Fall Residency,1982,,,JALONEN,Olli,1233
Europe,Northern Europe,Finland,Fall Residency,1986,,,KILPINEN,Inkeri,1292
Europe,Northern Europe,Finland,Fall Residency,1995,,,KOSKELAINEN,Jukka,1317
Europe,Northern Europe,Finland,Fall Residency,1989,,,KYTOHONKA,Arto,1340
Europe,Northern Europe,Finland,Fall Residency,1980,,,LAINE,Jarkko,1346
Europe,Northern Europe,Finland,Fall Residency,1985,,,LUNDBERG,Ulla-lena,1389
Europe,Northern Europe,Finland,Fall Residency,2013,,Teemu Manninen,Manninen,Teemu,3579
Europe,Northern Europe,Finland,Fall Residency,2011,,,PARKKO,Tommi,1969
Europe,Northern Europe,Finland,Fall Residency,1988,,,SARIOLA,Esa,2384
Europe,Northern Europe,Finland,Fall Residency,1994,,,SINERVO,Helena,2413
Europe,Northern Europe,Finland,Fall Residency,1990,,,TURKKA,Sirkka,2490
Europe,Western Europe,France,Fall Residency,1985,Liliane Atlan,,Atlan,Liliane,813
Europe,Western Europe,France,Fall Residency,1987,,,Bloch,Marc,880
Europe,Western Europe,France,Fall Residency,1984,,,CELLY,Jean Jacques,923
Europe,Western Europe,France,Fall Residency,"1969, 1970",,,DELAHAYE,Alain,1008
Europe,Western Europe,France,Fall Residency,1978,,,DENIS,Philippe,1013
Europe,Western Europe,France,Fall Residency,1968,,,FESSAGUET,Claude,1075
Europe,Western Europe,France,Fall Residency,1980,,,HOCQUARD,Emmanuel,1191
Europe,Western Europe,France,Fall Residency,2011,,,KANOR,Fabienne,1950
Europe,Western Europe,France,Fall Residency,1975,,,KEINEG,Paol,1273
Europe,Western Europe,France,Fall Residency,2006,,,LAUGIER,Emmanuel,1356
Europe,Western Europe,France,Fall Residency,1967,,,NICOLE,Eugene,1512
Europe,Western Europe,France,Fall Residency,1988,,,NIMIER,Marie,1516
Europe,Western Europe,France,Fall Residency,2009,,,RACHEDI,Mabrouck,1626
Asia,Western Asia,Georgia,Fall Residency,1999,,,KUBANEISHVILI,Konstantine (Kote),1326
Asia,Western Asia,Georgia,Fall Residency,2001,,,TURASHVILI,David,2304
Asia,Western Asia,Georgia,Fall Residency,2004,,,ZHORDANIA,Sulkhan,2349
Europe,Western Europe,Germany,Fall Residency,1984,Michael Augustin,,Augustin,Michael,816
Europe,Western Europe,Germany,Fall Residency,1969,Nicolas Born,,Born,Nicolas,886
Europe,Western Europe,Germany,Fall Residency,1967,Hans Christoph Buch,,Buch,Hans Christoph,897
Europe,Western Europe,Germany,Fall Residency,1984,,,ERPENBECK,John,1055
Europe,Western Europe,Germany,Fall Residency,2005,,,FATAH,Sherko,1070
Europe,Western Europe,Germany,Fall Residency,2012,,,Fricke,Tanja,3117
Europe,Western Europe,Germany,Fall Residency,2003,,,GÖRITZ,Matthias,1146
Europe,Western Europe,Germany,Fall Residency,1978,,,HERMS,Uwe,1179
Europe,Western Europe,Germany,Fall Residency,1982,,,JENDRYSCHIK,Manfred,1238
Europe,Western Europe,Germany,Fall Residency,2010,,,KAMPMANN,Anja,1256
Europe,Western Europe,Germany,Fall Residency,2010,,,KLOEBLE,Christopher,1308
Europe,Western Europe,Germany,Fall Residency,1985,,,KNOBLOCH,Heinz,1309
Europe,Western Europe,Germany,Fall Residency,1998,,,KOBOW,Beatrice,1310
Europe,Western Europe,Germany,Fall Residency,1979,,,KOHLHAASE,Wolfgang,1311
Europe,Western Europe,Germany,Fall Residency,1983,,,NOVAK,Helga M.,1528
Europe,Western Europe,Germany,Fall Residency,1978,,,PANITZ,Eberhard,1576
Europe,Western Europe,Germany,Fall Residency,2006,,,PLETZINGER,Thomas,1596
Europe,Western Europe,Germany,Fall Residency,1975,,,POSS,Alf,1602
Europe,Western Europe,Germany,Fall Residency,1981,,,SCHULZE,Axel,2388
Europe,Western Europe,Germany,Fall Residency,2007,,,STANISIC,Saša,2285
Europe,Western Europe,Germany,Fall Residency,2013,,Simon Urban,Urban,Simon,3549
Europe,Western Europe,Germany,Fall Residency,1976,,,VIEBAHN,Fred,2517
Europe,Western Europe,Germany,Fall Residency,1983,,,WEBER,Hans,2533
Europe,Western Europe,Germany,Fall Residency,2002,,,ZELLER,Michael,2346
Europe,Western Europe,Germany,Fall Residency,2014,,,Utler,Anja,3942
Europe,Western Europe,Germany/Iceland,Fall Residency,2008,,,MAGNUSSON,Kristof,1406
Africa,Western Africa,Ghana,Fall Residency,1970,Joseph W Abruquah,,Abruquah,Joseph W.,773
Africa,Western Africa,Ghana,Fall Residency,1985,Kobena Eyi Acquah,,Acquah,Kobena Eyi,775
Africa,Western Africa,Ghana,Fall Residency,1998,Kofi Anyidoho,,ANYIDOHO,Kofi,763
Africa,Western Africa,Ghana,Fall Residency,2002,,,DARKO,Amma,997
Africa,Western Africa,Ghana,Fall Residency,1990,,,KUWABONG,Dannabang,1335
Africa,Western Africa,Ghana,Fall Residency,1978,,,OKAI,Atukwei,1547
Africa,Western Africa,Ghana,Fall Residency,1983,,,OKUNOR,Vincent,1548
Africa,Western Africa,Ghana,Fall Residency,1982,,,QUARTEY,Rex,1619
Africa,Western Africa,Ghana,Fall Residency,2014,,Mamle Kabu,Kabu,Mamle,3973
Europe,Southern Europe,Greece,Fall Residency,1973,Petros Ampatzoglou,,Ampatzoglou,Petros,797
Europe,Southern Europe,Greece,Fall Residency,1974,Katerina Angelake-Rouk,,Angelake-Rouk,Katerina,799
Europe,Southern Europe,Greece,Fall Residency,2007,,,CHRYSSOPOULOS,Chris,956
Europe,Southern Europe,Greece,Fall Residency,1975,,,DENEGRIS,Anastassios G.,1011
Europe,Southern Europe,Greece,Fall Residency,1979,,,HIONIS,Argyris,1185
Europe,Southern Europe,Greece,Fall Residency,1997,,,HOMENIDES,Christos,1193
Europe,Southern Europe,Greece,Fall Residency,2012,,Chan Mit,Lyacos,Dimitrios,3133
Europe,Southern Europe,Greece,Fall Residency,1978,,,NOLLAS,Dimitri,1523
Europe,Southern Europe,Greece,Fall Residency,1982,,,PHOKAS,Nikos,1589
Europe,Southern Europe,Greece,Fall Residency,1984,,,RAPTOPOULOS,Vangelis,1638
Europe,Southern Europe,Greece,Fall Residency,2008,,,SKARAGAS,Jianni,2277
Europe,Southern Europe,Greece,Fall Residency,1981,,,SKOURTIS,George,2421
Europe,Southern Europe,Greece,Fall Residency,1981,,,SOTIROPOULOU,Ersi,2431
Europe,Southern Europe,Greece,Fall Residency,2004,,,STAMATIS,Alexis,2284
Europe,Southern Europe,Greece,Fall Residency,1972,,,TAKTSIS,Costas,2466
Europe,Southern Europe,Greece,Fall Residency,1976,,,VALTINOS,Thanassis,2500
Europe,Southern Europe,Greece,Fall Residency,2014,,Auguste Corteau,Corteau,Auguste,3891
The Americas,Caribbean,Grenada,Fall Residency,2011,,,KEMPADOO,Oonya,1952
The Americas,Central America,Guatemala,Fall Residency,1982,,,CARRERA,Margarita,910
The Americas,Central America,Guatemala,Fall Residency,1986,,,CARRILLO,Hugo,912
The Americas,Central America,Guatemala,Fall Residency,1993,,,MORALES,Mario Roberto,1459
The Americas,Central America,Guatemala,Fall Residency,1988,,,VALENZUELA,Felipe,2498
The Americas,Caribbean,Haiti,Fall Residency,2007,,,PIERRE,Beaudelaine,1593
The Americas,Caribbean,Haiti,Fall Residency,1994,,,TROUILLOT,Lyonel,2487
The Americas,Caribbean,Haiti,Fall Residency,2011,,,VICTOR,Marvin,2003
The Americas,Central America,Honduras,Fall Residency,1974,,,ESCOTO,Julio,1057
The Americas,Central America,Honduras,Fall Residency,1993,,,SARAVIA Orellana,Juan Ramon,2383
Asia,Eastern Asia,Hong Kong,Fall Residency,1978,,,CHAN,Huen-man,926
Asia,Eastern Asia,Hong Kong,Fall Residency,1979,,,CHAN,Joyce,927
Asia,Eastern Asia,Hong Kong,Fall Residency,2012,,,Chan,Chi Tak,3106
Asia,Eastern Asia,Hong Kong,Fall Residency,1973,,,CHEUNG,Dominic,938
Asia,Eastern Asia,Hong Kong,Fall Residency,1987,,,CHUNG,Hiu Ieong (sharon),957
Asia,Eastern Asia,Hong Kong,Fall Residency,1967,,,DAI,Shing Yee,995
Asia,Eastern Asia,Hong Kong,Fall Residency,2009,,,DUNG,Kai Cheung,1036
Asia,Eastern Asia,Hong Kong,Fall Residency,1976,,,HO,Ta,1188
Asia,Eastern Asia,Hong Kong,Fall Residency,1970,,,KOO,Siu-sun,1314
Asia,Eastern Asia,Hong Kong,Fall Residency,2008,,,LAM,Agnes S. L.,1347
Asia,Eastern Asia,Hong Kong,Fall Residency,2013,,Lee Chi-leung,LEE,Chi-leung,3563
Asia,Eastern Asia,Hong Kong,Fall Residency,1983,,,POON,Yiu Ming,1599
Asia,Eastern Asia,Hong Kong,Fall Residency,2007,,,PUN,Lawrence,1612
Asia,Eastern Asia,Hong Kong,Fall Residency,1968,,,WAN,Kin-lau,2524
Asia,Eastern Asia,Hong Kong,Fall Residency,1977,,,WONG,Sum-chuen,2541
Asia,Eastern Asia,Hong Kong,Fall Residency,1980,,,YEE,Lee,2555
Asia,Eastern Asia,Hong Kong,Fall Residency,1974,,,YUEN,Stewart,2563
Asia,Eastern Asia,Hong Kong,Fall Residency,2010,,,HON,Lai Chu,1194
Asia,Eastern Asia,Hong Kong,Fall Residency,2014,,,Tang,Siu Wa,3971
Asia,Eastern Asia,Hong Kong/India,Fall Residency,"2005, 2009",,,RAO,Mani,1636
Europe,Eastern Europe,Hungary,Fall Residency,2013,,Denes Krusovszky,Krusovszky,Dénes,3514
Europe,Eastern Europe,Hungary,Fall Residency,1980,István Bart,,Bart,István,859
Europe,Eastern Europe,Hungary,Fall Residency,1970,John Bátki,,Bátki,John,905
Europe,Eastern Europe,Hungary,Fall Residency,1997,Pál Békés,,BEKES,Pal,825
Europe,Eastern Europe,Hungary,Fall Residency,1983,Zsuzsa Beney,,Beney,Zsuzsa,871
Europe,Eastern Europe,Hungary,Fall Residency,1975,,,CSAPLÁR,Vilmos,983
Europe,Eastern Europe,Hungary,Fall Residency,2007,,László G. István,GEHER,István László,1102
Europe,Eastern Europe,Hungary,Fall Residency,1973,,,GERGELY,Ágnes,1103
Europe,Eastern Europe,Hungary,Fall Residency,1997,,,HAMVAI,Kornel,1157
Europe,Eastern Europe,Hungary,Fall Residency,1979,,,HARASZTI,Miklós,1162
Europe,Eastern Europe,Hungary,Fall Residency,1989,,,HERNÁDI,Miklós,1180
Europe,Eastern Europe,Hungary,Fall Residency,1971,,,KARINTHY,Ferenc,1268
Europe,Eastern Europe,Hungary,Fall Residency,1979,,,LENGYEL,Balázs,1360
Europe,Eastern Europe,Hungary,Fall Residency,1982,,,LENGYEL,Péter,1361
Europe,Eastern Europe,Hungary,Fall Residency,1996,,,MOLNAR,Miklos,1455
Europe,Eastern Europe,Hungary,Fall Residency,1993,,,NAGY,András,1495
Europe,Eastern Europe,Hungary,Fall Residency,1979,,,NAGY,Agnes Nemes,1494
Europe,Eastern Europe,Hungary,Fall Residency,1972,,,ORAVECZ,Imre,1556
Europe,Eastern Europe,Hungary,Fall Residency,1976,,,ORBÁN,Ottó,1557
Europe,Eastern Europe,Hungary,Fall Residency,2005,,,PÉK,Zoltán,1616
Europe,Eastern Europe,Hungary,Fall Residency,1998,,,PETOCZ,Andras,1586
Europe,Eastern Europe,Hungary,Fall Residency,1990,,,RAKOVSZKY,Zsuzsa,1634
Europe,Eastern Europe,Hungary,Fall Residency,1981,,,SOMLYÓ,György,2428
Europe,Eastern Europe,Hungary,Fall Residency,1995,,,SPIRÓ,György,2432
Europe,Eastern Europe,Hungary,Fall Residency,1977,,,SÜKÖSD,Mihály,2464
Europe,Eastern Europe,Hungary,Fall Residency,1972,,,SZABÓ,Magda,2454
Europe,Eastern Europe,Hungary,Fall Residency,2003,,,SZÁNTÓ,Gábor T.,2290
Europe,Eastern Europe,Hungary,Fall Residency,1970,,,SZÁSZ,Imre,2458
Europe,Eastern Europe,Hungary,Fall Residency,1988,,,TAKÁCS,Zsuzsa,2467
Europe,Eastern Europe,Hungary,Fall Residency,1988,,,TEMESI,Ferenc,2474
Europe,Eastern Europe,Hungary,Fall Residency,1978,,,TORNAI,József,2484
Europe,Eastern Europe,Hungary,Fall Residency,1982,,,TÓTH,Éva,2492
Europe,Northern Europe,Iceland,Fall Residency,1986,Guðbergur Bergsson,,Bergsson,Gu<eth>bergur,872
Europe,Northern Europe,Iceland,Fall Residency,1976,,,MAGNUSSON,Sigurdur A.,1407
Europe,Northern Europe,Iceland,Fall Residency,1984,,,SIGURDARDOTTIR,Steinunn,2410
Europe,Northern Europe,Iceland,Fall Residency,1988,,,SIGURDSSON,Birgir,2411
Europe,Northern Europe,Iceland,Fall Residency,2010,,,SIGURÐSSON,Sölvi Björn,2273
Europe,Northern Europe,Iceland,Fall Residency,1983,,,STEINSSON,Gudmundur,2439
Europe,Northern Europe,Iceland,Fall Residency,2014,,Gerdur Kristny,Kristny,Gerdur,3913
Asia,South-central Asia,India,Fall Residency,1973,Acokamittiran,,Ashokamitran,J. Thyagarajan,812
Asia,South-central Asia,India,Fall Residency,1988,Anil Awachat,,Awachat,Anil Tryambak,818
Asia,South-central Asia,India,Fall Residency,2006,,,BANDYOPADHYAY,Srijato,823
Asia,South-central Asia,India,Fall Residency,1975,,,CHITRE,Dilip,946
Asia,South-central Asia,India,Fall Residency,2010,,,CHOUDHURY,Chandrahas,954
Asia,South-central Asia,India,Fall Residency,1991,,,DABRAL,Mangalesh,993
Asia,South-central Asia,India,Fall Residency,2002,,,DIWAKAR,S.,1024
Asia,South-central Asia,India,Fall Residency,1981,,,GANGOPADHYAY,Sunil,1098
Asia,South-central Asia,India,Fall Residency,1967,,,GHOSH,Shankha,1105
Asia,South-central Asia,India,Fall Residency,1990,,,GILL,Gagan,1108
Asia,South-central Asia,India,Fall Residency,2001,,,GOSWAMI,Joy,1124
Asia,South-central Asia,India,Fall Residency,1995,,,HOSKOTE,Ranjit,1196
Asia,South-central Asia,India,Fall Residency,1979,,,HYDER,Qurratulain,1213
Asia,South-central Asia,India,Fall Residency,1977,,,JUSSAWALLA,Adil,1252
Asia,South-central Asia,India,Fall Residency,2009,,,KANDASAMY,Meena,1258
Asia,South-central Asia,India,Fall Residency,1987,,,KANNAN,Lakshmi,1261
Asia,South-central Asia,India,Fall Residency,2002,,,KUMAR,Sukrita Paul,1329
Asia,South-central Asia,India,Fall Residency,1989,,,MAHADEV,Devanur,1408
Asia,South-central Asia,India,Fall Residency,1976,,,MAHAPATRA,Jayanta,1409
Asia,South-central Asia,India,Fall Residency,1971,,,MEHROTRA,Arvind Krishna,1434
Asia,South-central Asia,India,Fall Residency,1983,,,MISRA,Soubhagya,1446
Asia,Southern Europe,Yugoslavia,Fall Residency,1975,,,IMAMOVIC,Ahmed Muhamed,1219
Asia,Eastern Africa,Kenya,Fall Residency,1989,,,IMBUGA,Francis,1220
Asia,Eastern Africa,Uganda,Fall Residency,1977,,,Imbuya,Henry,1230
Asia,Eastern Africa,Kenya,Fall Residency,1992,,,INDANGASI,Henry,1221
Asia,South-central Asia,India,Fall Residency,1994,,,MOHANTY,Niranjan,1452
Asia,South-central Asia,India,Fall Residency,"1974, 1986",,,MURTHY,U.r. Anantha,1475
Asia,South-central Asia,India,Fall Residency,2007,,,NAGARKAR,Kiran,1493
Asia,South-central Asia,India,Fall Residency,2007,,,NAMBISAN,Kavery,1501
Asia,South-central Asia,India,Fall Residency,1978,,,PARTHASARATHY,Rajagopal,1580
Asia,South-central Asia,India,Fall Residency,2000,,,SHIVA PRAKASH,Hulkuntemath Shivamurthy Shastry,2267
Asia,South-central Asia,India,Fall Residency,2011,,,K. R.,Usha,1975
Asia,South-central Asia,India,Fall Residency,1996,,,RAO,R. Raj,1637
Asia,South-central Asia,India,Fall Residency,1989,,,REDDY,P. Bayapa,1643
Asia,South-central Asia,India,Fall Residency,1985,,,SADHU,Arun,1678
Asia,South-central Asia,India,Fall Residency,1984,,,SHUKLA,Prayag,2406
Asia,South-central Asia,India,Fall Residency,1981,,,SINHA,Kabita,2414
Asia,South-central Asia,India,Fall Residency,1980,,,SIRAJ,Syed Mustafa,2417
Asia,South-central Asia,India,Fall Residency,1986,,,SIVASANKARI,,2419
Asia,South-central Asia,India,Fall Residency,1982,,,SUBRAMANIAM,Usha,2447
Asia,South-central Asia,India,Fall Residency,2013,,Sridala Swami,Swami,Sridala,3523
Asia,South-central Asia,India,Fall Residency,2004,,,THACHOM POYIL,Rajeevan,2296
Asia,South-central Asia,India,Fall Residency,"2004, 2005",,,TIRUMALESH,K.V.,2298
Asia,South-central Asia,India,Fall Residency,"1970, 1979",,,VARMA,Shrikant,2508
Asia,South-central Asia,India,Fall Residency,1977,,,VERMA,Nirmal,2515
Asia,South-central Asia,India,Fall Residency,2001,,,WARRIER,Shashi,2322
Asia,South-central Asia,India,Fall Residency,2014,,,Binayak,Banerjee,3970
Asia,South-eastern Asia,Indonesia,Fall Residency,1976,Leon Agusta,,Agusta,Leon,781
Asia,South-eastern Asia,Indonesia,Fall Residency,1982,Linus Suryadi Agustinus,,Agustinus,Linus Suryadi,782
Asia,South-eastern Asia,Indonesia,Fall Residency,1975,Akhudiat.,,Akhudiat,,786
Asia,South-eastern Asia,Indonesia,Fall Residency,2006,,,AMAL,Nukila,757
Asia,South-eastern Asia,Indonesia,Fall Residency,2013,,Asma Nadia,NADIA,Asma,3568
Asia,South-eastern Asia,Indonesia,Fall Residency,1979,Arswendo Atmowiloto,,Atmowiloto,Arswendo,814
Asia,South-eastern Asia,Indonesia,Fall Residency,1974,Sutardji Calzoum Bachri,,Bachri,Sutardji Calzoum,846
Asia,South-eastern Asia,Indonesia,Fall Residency,1987,Eka Budianta,,Martoredjo,Eka Budianta,899
Asia,South-eastern Asia,Indonesia,Fall Residency,1976,,,DANARTO,,996
Asia,South-eastern Asia,Indonesia,Fall Residency,2007,,,DEWANTO,Nirwan,1015
Asia,South-eastern Asia,Indonesia,Fall Residency,1980,,,ECIP,S. Sinanasari,1039
Asia,South-eastern Asia,Indonesia,Fall Residency,1973,,,HADI,Abdul,1149
Asia,South-eastern Asia,Indonesia,Fall Residency,1977,,,HADI,Wisran,1150
Asia,South-eastern Asia,Indonesia,Fall Residency,1972,,,HURIP,Satyagraha,1206
Asia,South-eastern Asia,Indonesia,Fall Residency,"1971, 1991",,,ISMAIL,Taufiq,1226
Asia,South-eastern Asia,Indonesia,Fall Residency,1993,,,KOIRI,Muchamad,1312
Asia,South-eastern Asia,Indonesia,Fall Residency,2001,,,LOEKITO,Medy,1382
Asia,South-eastern Asia,Indonesia,Fall Residency,1983,,,MASSARDI,Yudistira,1421
Asia,South-eastern Asia,Indonesia,Fall Residency,1988,,,MOENIR,Darman,1451
Asia,South-eastern Asia,Indonesia,Fall Residency,1981,,,NADJIB,Emha Ainum,1491
Asia,South-eastern Asia,Indonesia,Fall Residency,1979,,,NADJIRA,Frans,1492
Asia,South-eastern Asia,Indonesia,Fall Residency,1972,,,NOER,Arifin,1519
Asia,South-eastern Asia,Indonesia,Fall Residency,1984,,,NOERHADI,Toeti Herati,1520
Asia,South-eastern Asia,Indonesia,Fall Residency,2006,,,PAMUNTJAK,Laksmi,1574
Asia,South-eastern Asia,Indonesia,Fall Residency,1970,,,POYK,Gerson,1603
Asia,South-eastern Asia,Indonesia,Fall Residency,2002,,,PRASETYO,Arif Bagus,1604
Asia,South-eastern Asia,Indonesia,Fall Residency,1978,,,RIANTIARNO,N.,1650
Asia,South-eastern Asia,Indonesia,Fall Residency,1970,,,SIREGAR,Sori,2418
Asia,South-eastern Asia,Indonesia,Fall Residency,2001,,,SRENGENGE,Sitok,2283
Asia,South-eastern Asia,Indonesia,Fall Residency,1977,,,SRIWIDODO,Rayani,2434
Asia,South-eastern Asia,Indonesia,Fall Residency,1980,,,TJITRAWASITA,Totilawati,2478
Asia,South-eastern Asia,Indonesia,Fall Residency,1990,,,TOHARI,Ahmad,2481
Asia,South-eastern Asia,Indonesia,Fall Residency,2005,,,UTAMI,Ayu,2312
Asia,South-eastern Asia,Indonesia,Fall Residency,"1974, 1976",,,WIDJAJA,Putu,2535
Asia,South-eastern Asia,Indonesia,Fall Residency,2010,,Andrea Hirata,HIRATA,Andrea,1187
Asia,South-central Asia,Iran,Fall Residency,2008,,,ALA AMJADI,Maryam,752
Asia,South-central Asia,Iran,Fall Residency,1974,Reza Baraheni,,Baraheni,Reza,855
Asia,South-central Asia,Iran,Fall Residency,1978,,,GOLSHIRI,Houshang,1117
Asia,South-central Asia,Iran,Fall Residency,1990,,,GOUSHEGUR,Ezzat,1126
Asia,South-central Asia,Iran,Fall Residency,1989,,,KHO'I,Esmail,1283
Asia,South-central Asia,Iran,Fall Residency,2013,,Mahsa Mohebali,Mohebali,Mahsa,3590
Asia,South-central Asia,Iran,Fall Residency,1992,,,PARSIPUR,Shahrnoosh,1579
Asia,South-central Asia,Iran,Fall Residency,1967,,,SAFFARZADEH,Tahereh,1681
Asia,South-central Asia,Iran,Fall Residency,2010,,,SIAHPOOR,Farangis,2272
Asia,South-central Asia,Iran,Fall Residency,2012,,,Yadali,Yaghoub,3149
Asia,Western Asia,Iraq,Fall Residency,2012,,,Nouri,Gulala,3137
Asia,Western Asia,Iraq,Fall Residency,1990,Samira Al-Mana,,Al-Mana,Samira,788
Asia,Western Asia,Iraq,Fall Residency,2011,,,Hassan,Naseer,1685
Asia,Western Asia,Iraq,Fall Residency,2009,,,NAJM,Soheil,1497
Asia,Western Asia,Iraq,Fall Residency,1990,,,SIMAWE,Saadi,2412
Asia,Western Asia,Iraq,Fall Residency,2014,,Sadek Mohammed,Mohammed,Sadek,3986
Europe,Northern Europe,Ireland,Fall Residency,1980,John Banville,,Banville,John,854
Europe,Northern Europe,Ireland,Fall Residency,1984,Sebastian Barry,,Barry,Sebastian,858
Europe,Northern Europe,Ireland,Fall Residency,1979,Eavan Boland,,Boland,Eavan,884
Europe,Northern Europe,Ireland,Fall Residency,1979,,,CASEY,Kevin,917
Europe,Northern Europe,Ireland,Fall Residency,1985,,,CLIFTON,Harry,962
Europe,Northern Europe,Ireland,Fall Residency,2013,,Martin Dyar,Dyar,Martin,3543
Europe,Northern Europe,Ireland,Fall Residency,2000,,,Finn,Mike,1092
Europe,Northern Europe,Ireland,Fall Residency,1981,,,HOGAN,Desmond,1192
Europe,Northern Europe,Ireland,Fall Residency,1983,,,KIELY,Kevin,1289
Europe,Northern Europe,Ireland,Fall Residency,2001,,,LOGUE,Antonia,1383
Europe,Northern Europe,Ireland,Fall Residency,2004,,,MATTHEWS,Christopher,1426
Europe,Northern Europe,Ireland,Fall Residency,1978,,,McCARTHY,Thomas,1484
Europe,Northern Europe,Ireland,Fall Residency,2010,,,McKIMM,Michael,1485
Europe,Northern Europe,Ireland,Fall Residency,2011,,,REGAN,Nell,1976
Europe,Northern Europe,Ireland,Fall Residency,1994,,,ROPER,Martin,1666
Europe,Northern Europe,Ireland,Fall Residency,2009,,,SHITHIGH,Siobhan Ni,2266
Europe,Northern Europe,Ireland,Fall Residency,1968,,,SMITH,Sydney Bernard,2424
Europe,Northern Europe,Ireland,Fall Residency,2003,,,WOODWORTH,Paddy,2329
Asia,Western Asia,Israel,Fall Residency,2003,Shimon Adaf,,ADAF,Shimon,745
Asia,Western Asia,Israel,Fall Residency,1990,Hanan Ahmad Awwad,,Awwad,Hanan,820
Asia,Western Asia,Israel,Fall Residency,1985,Hanokh Bartov,,Bartov,Hanoch,860
Asia,Western Asia,Israel,Fall Residency,1994,,,Beidas,Riad Hanna,866
Asia,Western Asia,Israel,Fall Residency,2004,Sami Berdugo,,BERDUGO,Sami,827
Asia,Western Asia,Israel,Fall Residency,1970,,,DOR,Moshe,1031
Asia,Western Asia,Israel,Fall Residency,1971,,,ELDAN,Anadad,1044
Asia,Western Asia,Israel,Fall Residency,2007,,,EPSTEIN,Alex,1050
Asia,Western Asia,Israel,Fall Residency,2010,,,TOUCHE GAFLA,Ofir,2301
Asia,Western Asia,Israel,Fall Residency,2008,,,GLOBERMAN,Yael,1112
Asia,Western Asia,Israel,Fall Residency,1984,,,HADDAD,Michel,1148
Asia,Western Asia,Israel,Fall Residency,2005,,,HASS,Sharron,1170
Asia,Western Asia,Israel,Fall Residency,1980,,,KAHANA-CARMON,Amalia,1254
Asia,Western Asia,Israel,Fall Residency,2001,,,KERET,Etgar,1275
Asia,Western Asia,Israel,Fall Residency,1974,,,KHATIB,Samira,1281
Asia,Western Asia,Israel,Fall Residency,2000,,,LERNER,Motti,1362
Asia,Western Asia,Israel,Fall Residency,1983,,,LEVITAS,Yoav,1363
Asia,Western Asia,Israel,Fall Residency,1990,,,LIEBRECHT,Savyon,1369
Asia,Western Asia,Israel,Fall Residency,2011,,,MANOR,Dory,1956
Asia,Western Asia,Israel,Fall Residency,1984,,,MEGGED,Aharon,1432
Asia,Western Asia,Israel,Fall Residency,1984,,,MEGGED,Eda Zoritt,1433
Asia,Western Asia,Israel,Fall Residency,1989,,,MILOSLAVSKY,Yuri,1443
Asia,Western Asia,Israel,Fall Residency,2009,,,MISHORI,Efrat,1445
Asia,Western Asia,Israel,Fall Residency,2001,,,NASRALLA,Aida,1505
Asia,Western Asia,Israel,Fall Residency,1988,,,NITZAN,Shlomo,1517
Asia,Western Asia,Israel,Fall Residency,1994,,,OR,Amir,1555
Asia,Western Asia,Israel,Fall Residency,1979,,,ORPAZ,Yitzhak,1559
Asia,Western Asia,Israel,Fall Residency,2008,,,PICK,Anat,1591
Asia,Western Asia,Israel,Fall Residency,2002,,,RABINYAN,Dorit,1625
Asia,Western Asia,Israel,Fall Residency,1985,,,REICH,Asher,1645
Asia,Western Asia,Israel,Fall Residency,1980,,,REUVENY,Yotam,1649
Asia,Western Asia,Israel,Fall Residency,2011,,,SAKAL,Moshe,1983
Asia,Western Asia,Israel,Fall Residency,1986,,,SANDBANK,Shimon,2376
Asia,Western Asia,Israel,Fall Residency,1998,,,SARNA,Igal,2258
Asia,Western Asia,Israel,Fall Residency,1969,,,SENED,Alexander,2392
Asia,Western Asia,Israel,Fall Residency,1981,,,SHAMMAS,Anton,2397
Asia,Western Asia,Israel,Fall Residency,1995,,,SHATZ,Ariel,2400
Asia,Western Asia,Israel,Fall Residency,1992,,,SOMECK,Ronny,2427
Asia,Western Asia,Israel,Fall Residency,1977,,,TELPAZ,Gideon,2473
Asia,Western Asia,Israel,Fall Residency,1987,,,TSALKA,Dan,2488
Asia,Western Asia,Israel,Fall Residency,2013,,Erez Volk,Volk,Erez,3557
Asia,Western Asia,Israel,Fall Residency,1982,,,WIESELTIER,Meir Marcus,2536
Asia,Western Asia,Israel,Fall Residency,1968,,,YEHOSHUA,Avraham B.,2556
Asia,Western Asia,Israel,Fall Residency,2014,,,Gaon,Boaz,3943
Asia,Western Asia,Israel/Palestine,Fall Residency,2005,,,KUNDUS,Zahiye,1331
Europe,Southern Europe,Italy,Fall Residency,2001,Rocco Carbone,,CARBONE,Rocco,906
Europe,Southern Europe,Italy,Fall Residency,2008,,,RAIMO,Veronica,1631
Europe,Southern Europe,Italy,Fall Residency,1979,,,ROSSELLI,Aldo,1668
The Americas,Caribbean,Jamaica,Fall Residency,1989,,,CRAIG,Christine,978
The Americas,Caribbean,Jamaica,Fall Residency,1986,,,DAWES,Kwame S. N.,1003
The Americas,Caribbean,Jamaica,Fall Residency,1984,,,GLOUDON,Barbara,1113
The Americas,Caribbean,Jamaica,Fall Residency,1983,,,GOODISON,Lorna,1121
