id,featureid,cshapes_cntry_name,author_country_name,year,author_count,cumulative_count
42648,27,Colombia,Colombia,1972,0,2
42676,106,France,France,1972,0,4
42672,94,Greece,Greece,1972,1,1
42684,129,Iran,Iran,1972,0,1
42652,37,Ireland,Ireland,1972,0,1
42690,143,Japan,Japan,1972,1,9
42660,42,Liberia,Liberia,1972,0,1
42646,16,Mexico,Mexico,1972,0,3
42675,102,Poland,Poland,1972,2,14
42691,147,South Korea,South Korea,1972,0,2
42668,122,Sri Lanka,Sri Lanka,1972,0,1
42677,109,Netherlands,The Netherlands,1972,1,1
48856,180,Australia,Australia,2006,0,7
42733,8,Brazil,Brazil,1972,1,7
42787,148,Cambodia,Cambodia,1972,0,1
42734,9,Chile,Chile,1972,0,5
42752,28,Costa Rica,Costa Rica,1972,0,1
42707,195,Ethiopia,Ethiopia,1972,1,2
42763,41,Ghana,Ghana,1972,0,1
42713,203,China,Hong Kong,1972,0,3
42736,101,Hungary,Hungary,1972,2,5
42725,227,India,India,1972,0,2
42723,223,Israel,Israel,1972,0,4
42777,78,Niger,Nigeria,1972,1,4
42761,33,Panama,Panama,1972,0,1
42737,12,Peru,Perú,1972,0,1
42786,146,Philippines,Philippines,1972,0,6
42782,117,Romania,Romania,1972,3,9
42710,210,Singapore,Singapore,1972,0,1
42756,66,Sweden,Sweden,1972,0,2
42711,202,Taiwan,Taiwan,1972,1,11
42729,159,Tanzania,Tanzania,1972,0,1
42738,97,Turkey,Turkey,1972,0,1
42732,59,Uganda,Uganda,1972,0,1
42742,3,Venezuela,Venezuela,1972,0,2
42721,206,Vietnam,Vietnam,1972,0,1
42716,191,Yugoslavia,Yugoslavia,1972,1,5
42797,27,Colombia,Colombia,1973,0,2
42823,106,France,France,1973,0,4
42820,94,Greece,Greece,1973,1,2
42801,37,Ireland,Ireland,1973,0,1
42809,42,Liberia,Liberia,1973,0,1
42794,16,Mexico,Mexico,1973,0,3
42822,102,Poland,Poland,1973,3,17
42816,122,Sri Lanka,Sri Lanka,1973,0,1
42824,109,Netherlands,The Netherlands,1973,0,1
42806,38,United Kingdom,United Kingdom,1973,1,3
48774,98,Austria,Austria,2006,0,3
42908,105,Belgium,Belgium,1973,0,1
42935,148,Cambodia,Cambodia,1973,0,1
42882,9,Chile,Chile,1973,1,6
42900,28,Costa Rica,Costa Rica,1973,0,1
42883,10,Ecuador,Ecuador,1973,1,1
42854,195,Ethiopia,Ethiopia,1973,1,3
42851,188,Germany Federal Republic,Germany,1973,0,2
42911,41,Ghana,Ghana,1973,0,1
42861,203,China,Hong Kong,1973,1,4
42884,101,Hungary,Hungary,1973,1,6
42873,227,India,India,1973,1,3
42831,129,Iran,Iran,1973,0,1
42871,223,Israel,Israel,1973,0,4
42837,143,Japan,Japan,1973,1,10
42878,79,Nigeria,Nigeria,1973,1,6
42925,78,Niger,Nigeria,1973,1,6
42909,33,Panama,Panama,1973,0,1
42885,12,Peru,Perú,1973,1,2
42934,146,Philippines,Philippines,1973,1,7
42893,44,Portugal,Portugal,1973,0,1
42930,117,Romania,Romania,1973,3,12
42857,210,Singapore,Singapore,1973,0,1
42838,147,South Korea,South Korea,1973,1,3
42904,66,Sweden,Sweden,1973,0,2
42859,202,Taiwan,Taiwan,1973,1,12
42877,159,Tanzania,Tanzania,1973,0,1
42886,97,Turkey,Turkey,1973,0,1
42880,59,Uganda,Uganda,1973,1,2
42890,3,Venezuela,Venezuela,1973,0,2
42869,206,Vietnam,Vietnam,1973,0,1
42864,191,Yugoslavia,Yugoslavia,1973,0,5
42944,17,Barbados,Barbados,1974,1,1
42946,27,Colombia,Colombia,1974,1,3
42950,37,Ireland,Ireland,1974,0,1
42958,42,Liberia,Liberia,1974,0,1
42943,16,Mexico,Mexico,1974,0,3
42957,196,South Africa,South Africa,1974,1,1
42955,38,United Kingdom,United Kingdom,1974,0,3
42974,6,Argentina,Argentina,1974,1,11
43057,105,Belgium,Belgium,1974,0,1
43030,8,Brazil,Brazil,1974,1,10
43086,148,Cambodia,Cambodia,1974,0,1
43031,9,Chile,Chile,1974,1,7
43049,28,Costa Rica,Costa Rica,1974,0,1
43032,10,Ecuador,Ecuador,1974,0,1
43003,195,Ethiopia,Ethiopia,1974,0,3
43000,188,Germany Federal Republic,Germany,1974,0,2
43060,41,Ghana,Ghana,1974,0,1
42969,94,Greece,Greece,1974,1,3
43051,31,Honduras,Honduras,1974,1,1
43010,203,China,Hong Kong,1974,1,5
43033,101,Hungary,Hungary,1974,0,6
43022,227,India,India,1974,1,4
42980,129,Iran,Iran,1974,1,2
43020,223,Israel,Israel,1974,1,5
42986,143,Japan,Japan,1974,0,10
43004,209,Malaysia,Malaysia,1974,1,1
43027,79,Nigeria,Nigeria,1974,2,10
43075,78,Niger,Nigeria,1974,2,10
43058,33,Panama,Panama,1974,1,2
43034,12,Peru,Perú,1974,0,2
43085,146,Philippines,Philippines,1974,0,7
42971,102,Poland,Poland,1974,2,19
43081,117,Romania,Romania,1974,0,12
43006,210,Singapore,Singapore,1974,0,1
42965,122,Sri Lanka,Sri Lanka,1974,0,1
43053,66,Sweden,Sweden,1974,0,2
43008,202,Taiwan,Taiwan,1974,1,13
43026,159,Tanzania,Tanzania,1974,0,1
42973,109,Netherlands,The Netherlands,1974,0,1
43035,97,Turkey,Turkey,1974,0,1
43029,59,Uganda,Uganda,1974,0,2
43025,238,United States,United States,1974,0,3
43039,3,Venezuela,Venezuela,1974,0,2
43018,206,Vietnam,Vietnam,1974,0,1
43013,191,Yugoslavia,Yugoslavia,1974,0,5
48752,139,Bangladesh,Bangladesh,2006,1,5
43125,6,Argentina,Argentina,1975,2,13
43095,17,Barbados,Barbados,1975,0,1
43212,105,Belgium,Belgium,1975,0,1
43182,8,Brazil,Brazil,1975,1,11
43183,9,Chile,Chile,1975,0,7
43097,27,Colombia,Colombia,1975,0,3
43184,10,Ecuador,Ecuador,1975,0,1
43156,195,Ethiopia,Ethiopia,1975,0,3
43123,106,France,France,1975,1,5
43153,188,Germany Federal Republic,Germany,1975,1,3
43215,41,Ghana,Ghana,1975,0,1
43120,94,Greece,Greece,1975,1,4
43206,31,Honduras,Honduras,1975,0,1
43163,203,China,Hong Kong,1975,0,5
43173,227,India,India,1975,1,5
43169,211,Indonesia,Indonesia,1975,1,8
43131,129,Iran,Iran,1975,0,2
43101,37,Ireland,Ireland,1975,0,1
43171,223,Israel,Israel,1975,0,5
43137,143,Japan,Japan,1975,1,11
43109,42,Liberia,Liberia,1975,0,1
43157,209,Malaysia,Malaysia,1975,0,1
43094,16,Mexico,Mexico,1975,1,4
43178,79,Nigeria,Nigeria,1975,0,10
43213,33,Panama,Panama,1975,0,2
43187,12,Peru,Perú,1975,0,2
43122,102,Poland,Poland,1975,2,21
43196,44,Portugal,Portugal,1975,0,1
43159,210,Singapore,Singapore,1975,0,1
43108,196,South Africa,South Africa,1975,1,2
43138,147,South Korea,South Korea,1975,0,3
43208,66,Sweden,Sweden,1975,0,2
43161,202,Taiwan,Taiwan,1975,0,13
43177,159,Tanzania,Tanzania,1975,0,1
43124,109,Netherlands,The Netherlands,1975,0,1
43188,97,Turkey,Turkey,1975,0,1
43181,59,Uganda,Uganda,1975,0,2
43106,38,United Kingdom,United Kingdom,1975,1,4
43176,238,United States,United States,1975,0,3
43193,3,Venezuela,Venezuela,1975,0,2
43166,191,Yugoslavia,Yugoslavia,1975,1,6
48698,17,Barbados,Barbados,2006,0,1
43232,90,Bulgaria,Bulgaria,1975,1,1
43224,157,Kenya,Kenya,1975,1,1
43230,78,Niger,Nigeria,1975,0,10
43237,117,Romania,Romania,1975,0,12
43236,152,Vietnam,Vietnam,1975,0,1
43280,6,Argentina,Argentina,1976,1,14
43290,139,Bangladesh,Bangladesh,1976,1,1
43251,17,Barbados,Barbados,1976,0,1
43339,8,Brazil,Brazil,1976,0,11
43340,9,Chile,Chile,1976,0,7
43341,10,Ecuador,Ecuador,1976,0,1
43328,225,Egypt,Egypt,1976,1,1
43311,195,Ethiopia,Ethiopia,1976,0,3
43278,106,France,France,1976,0,5
43308,188,Germany Federal Republic,Germany,1976,1,4
43275,94,Greece,Greece,1976,1,5
43318,203,China,Hong Kong,1976,1,6
43342,101,Hungary,Hungary,1976,1,8
43329,227,India,India,1976,1,6
43324,212,Indonesia,Indonesia,1976,3,11
43286,129,Iran,Iran,1976,0,2
